Entity,Code,Year,Arrivals of tourists from abroad
Albania,ALB,2018,5340000.0
Albania,ALB,2019,6128000.0
Albania,ALB,2020,2604000.0
Albania,ALB,2021,5515000.0
Albania,ALB,2022,7104700.0
Albania,ALB,2023,9741000.0
Albania,ALB,2024,11483000.0
American Samoa,ASM,2018,20200.0
American Samoa,ASM,2019,19200.0
American Samoa,ASM,2020,900.0
Andorra,AND,2018,3042000.0
Andorra,AND,2019,3090000.0
Andorra,AND,2020,1872000.0
Andorra,AND,2021,1949000.0
Andorra,AND,2022,3555100.0
Andorra,AND,2023,4048100.0
Andorra,AND,2024,4167600.0
Angola,AGO,2018,218000.0
Angola,AGO,2019,218000.0
Angola,AGO,2020,64000.0
Angola,AGO,2021,64000.0
Angola,AGO,2022,130000.0
Anguilla,AIA,2018,55000.0
Anguilla,AIA,2019,95000.0
Anguilla,AIA,2020,25400.0
Anguilla,AIA,2021,28400.0
Anguilla,AIA,2022,74100.0
Antigua and Barbuda,ATG,2018,269000.0
Antigua and Barbuda,ATG,2019,301000.0
Antigua and Barbuda,ATG,2020,125000.0
Antigua and Barbuda,ATG,2021,169400.0
Antigua and Barbuda,ATG,2022,265100.0
Antigua and Barbuda,ATG,2023,281800.0
Antigua and Barbuda,ATG,2024,330200.0
Argentina,ARG,2018,6942000.0
Argentina,ARG,2019,7399000.0
Argentina,ARG,2020,2090000.0
Argentina,ARG,2021,297000.0
Argentina,ARG,2022,3890000.0
Argentina,ARG,2023,7285688.0
Argentina,ARG,2024,6603877.0
Armenia,ARM,2018,1652000.0
Armenia,ARM,2019,1894000.0
Armenia,ARM,2020,360000.0
Armenia,ARM,2021,876000.0
Armenia,ARM,2022,1666000.0
Armenia,ARM,2023,2316000.0
Armenia,ARM,2024,2208000.0
Aruba,ABW,2018,1082000.0
Aruba,ABW,2019,1119000.0
Aruba,ABW,2020,368000.0
Aruba,ABW,2021,807000.0
Aruba,ABW,2022,1101000.0
Austria,AUT,2018,30816000.0
Austria,AUT,2019,31884000.0
Austria,AUT,2020,15091000.0
Austria,AUT,2021,12728000.0
Austria,AUT,2022,26215000.0
Australia,AUS,2018,9246000.0
Australia,AUS,2019,9466000.0
Australia,AUS,2020,1807000.0
Australia,AUS,2021,151000.0
Australia,AUS,2022,3689000.0
Australia,AUS,2023,7966040.0
Australia,AUS,2024,8402400.0
Azerbaijan,AZE,2018,2633000.0
Azerbaijan,AZE,2019,2876000.0
Azerbaijan,AZE,2020,587000.0
Azerbaijan,AZE,2022,1508000.0
Bahamas,BHS,2018,1633000.0
Bahamas,BHS,2019,1807000.0
Bahamas,BHS,2020,441000.0
Bahamas,BHS,2021,892000.0
Bahamas,BHS,2022,1452400.0
Bahamas,BHS,2023,1872059.0
Bahamas,BHS,2024,1869133.0
Bahrain,BHR,2018,4366000.0
Bahrain,BHR,2019,3849000.0
Bahrain,BHR,2020,827000.0
Bahrain,BHR,2021,2182000.0
Bahrain,BHR,2022,3712000.0
Bahrain,BHR,2023,5484000.0
Bahrain,BHR,2024,6618000.0
Bangladesh,BGD,2018,267000.0
Bangladesh,BGD,2019,323000.0
Bangladesh,BGD,2020,182000.0
Bangladesh,BGD,2021,135000.0
Barbados,BRB,2018,680000.0
Barbados,BRB,2019,523000.0
Barbados,BRB,2020,207400.0
Barbados,BRB,2021,144800.0
Barbados,BRB,2022,539700.0
Barbados,BRB,2023,636045.9
Barbados,BRB,2024,704340.0
Belarus,BLR,2018,2142000.0
Belarus,BLR,2019,2206000.0
Belarus,BLR,2020,577000.0
Belarus,BLR,2021,787000.0
Belarus,BLR,2022,1492000.0
Belgium,BEL,2018,9119000.0
Belgium,BEL,2019,9343000.0
Belgium,BEL,2020,2584000.0
Belgium,BEL,2021,3243000.0
Belgium,BEL,2022,8220000.0
Belgium,BEL,2023,9280000.0
Belgium,BEL,2024,9638000.0
Belize,BLZ,2018,489000.0
Belize,BLZ,2019,503000.0
Belize,BLZ,2020,144100.0
Belize,BLZ,2021,219000.0
Belize,BLZ,2022,372600.0
Benin,BEN,2018,295000.0
Benin,BEN,2019,309000.0
Benin,BEN,2020,325000.0
Bermuda,BMU,2018,282000.0
Bermuda,BMU,2019,269000.0
Bermuda,BMU,2020,42100.0
