location_type,state_code,state_name,website_state_id,year,travel_spending_source_value,travel_spending_denomination,travel_spending_usd,state_local_tax_receipts_source_value,state_local_tax_receipts_denomination,state_local_tax_receipts_usd,jobs_source_value,jobs_numeric,employment_ranking,,,,,,,,
state,AK,Alaska,2,2024,3.8,Billion,3800000000,172,Million,172000000,"25,600",25600,4,,,,,,,,
state,AK,Alaska,2,2023,3.6,Billion,3600000000,170,Million,170000000,"25,400",25400,4,,,,,,,,
state,AK,Alaska,2,2022,3.4,Billion,3400000000,163,Million,163000000,"24,300",24300,4,,,,,,,,
state,AK,Alaska,2,2021,2.6,Billion,2600000000,136,Million,136000000,"20,500",20500,4,,,,,,,,
state,AK,Alaska,2,2020,2.1,Billion,2100000000,129,Million,129000000,"17,500",17500,4,,,,,,,,
state,AK,Alaska,2,2019,3.6,Billion,3600000000,191,Million,191000000,"31,900",31900,3,,,,,,,,
state,AL,Alabama,1,2024,12.6,Billion,12600000000,562,Million,562000000,"78,000",78000,9,,,,,,,,
state,AL,Alabama,1,2023,12.4,Billion,12400000000,558,Million,558000000,"77,500",77500,9,,,,,,,,
state,AL,Alabama,1,2022,11.7,Billion,11700000000,536,Million,536000000,"74,900",74900,10,,,,,,,,
state,AL,Alabama,1,2021,10.1,Billion,10100000000,487,Million,487000000,"69,400",69400,11,,,,,,,,
state,AL,Alabama,1,2020,8.5,Billion,8500000000,440,Million,440000000,"58,400",58400,11,,,,,,,,
state,AL,Alabama,1,2019,11.7,Billion,11700000000,620,Million,620000000,"91,700",91700,8,,,,,,,,
state,AR,Arkansas,4,2024,10.3,Billion,10300000000,846,Million,846000000,"69,500",69500,5,,,,,,,,
state,AR,Arkansas,4,2023,9.9,Billion,9900000000,817,Million,817000000,"67,900",67900,6,,,,,,,,
state,AR,Arkansas,4,2022,9.2,Billion,9200000000,762,Million,762000000,"66,100",66100,6,,,,,,,,
state,AR,Arkansas,4,2021,8,Billion,8000000000,661,Million,661000000,"62,200",62200,6,,,,,,,,
state,AR,Arkansas,4,2020,6,Billion,6000000000,506,Million,506000000,"51,900",51900,8,,,,,,,,
state,AR,Arkansas,4,2019,8,Billion,8000000000,632,Million,632000000,"67,800",67800,5,,,,,,,,
state,AZ,Arizona,3,2024,25.5,Billion,25500000000,1.8,Billion,1800000000,"167,700",167700,9,,,,,,,,
state,AZ,Arizona,3,2023,25.4,Billion,25400000000,1.8,Billion,1800000000,"166,800",166800,9,,,,,,,,
state,AZ,Arizona,3,2022,23.6,Billion,23600000000,1.7,Billion,1700000000,"159,400",159400,9,,,,,,,,
state,AZ,Arizona,3,2021,18.7,Billion,18700000000,1.4,Billion,1400000000,"147,200",147200,9,,,,,,,,
state,AZ,Arizona,3,2020,15.2,Billion,15200000000,1.2,Billion,1200000000,"134,000",134000,9,,,,,,,,
state,AZ,Arizona,3,2019,24.9,Billion,24900000000,1.6,Billion,1600000000,"184,900",184900,5,,,,,,,,
state,CA,California,5,2024,157.6,Billion,1.58E+11,10.5,Billion,10500000000,"1,020,400",1020400,7,,,,,,,,
state,CA,California,5,2023,153.6,Billion,1.54E+11,10.5,Billion,10500000000,"1,015,900",1015900,7,,,,,,,,
state,CA,California,5,2022,145.5,Billion,1.46E+11,10.1,Billion,10100000000,"958,800",958800,7,,,,,,,,
state,CA,California,5,2021,105.5,Billion,1.06E+11,8.8,Billion,8800000000,"700,900",700900,9,,,,,,,,
state,CA,California,5,2020,79.7,Billion,79700000000,8.2,Billion,8200000000,"643,200",643200,10,,,,,,,,
state,CA,California,5,2019,159.3,Billion,1.59E+11,12,Billion,12000000000,"1,066,100",1066100,7,,,,,,,,
state,CO,Colorado,6,2024,28.5,Billion,28500000000,1.9,Billion,1900000000,"176,500",176500,6,,,,,,,,
state,CO,Colorado,6,2023,28.7,Billion,28700000000,1.9,Billion,1900000000,"177,600",177600,6,,,,,,,,
state,CO,Colorado,6,2022,26.9,Billion,26900000000,1.8,Billion,1800000000,"170,000",170000,6,,,,,,,,
state,CO,Colorado,6,2021,22.1,Billion,22100000000,1.5,Billion,1500000000,"155,900",155900,6,,,,,,,,
state,CO,Colorado,6,2020,16.7,Billion,16700000000,1.3,Billion,1300000000,"144,300",144300,8,,,,,,,,
state,CO,Colorado,6,2019,26.2,Billion,26200000000,1.7,Billion,1700000000,"192,100",192100,5,,,,,,,,
state,CT,Connecticut,7,2024,11.9,Billion,11900000000,761,Million,761000000,"47,200",47200,13,,,,,,,,
state,CT,Connecticut,7,2023,11.3,Billion,11300000000,741,Million,741000000,"46,600",46600,13,,,,,,,,
